season,batsman,strike
2008,"A Chopra",80.77
2008,"A Kumble",76.47
2008,"A Mishra",88.10
2008,"A Mukund",0.00
2008,"A Nehra",25.00
2008,"A Symonds",154.81
2008,"AA Noffke",90.00
2008,"AB Agarkar",120.00
2008,"AB de Villiers",96.94
2008,"AB Dinda",50.00
2008,"Abdur Razzak",0.00
2008,"AC Gilchrist",138.85
2008,"AD Mascarenhas",112.50
2008,"AM Nayar",150.36
2008,"AM Rahane",23.53
2008,"AS Yadav",125.64
2008,"B Akhil",148.39
2008,"B Chipli",71.43
2008,"B Lee",141.67
2008,"BB McCullum",206.59
2008,"BJ Hodge",70.59
2008,"CK Kapugedera",72.73
2008,"CL White",114.00
2008,"CRD Fernando",200.00
2008,"D Kalyankrishna",37.50
2008,"D Salunkhe",137.50
2008,"DB Das",109.57
2008,"DB Ravi Teja",134.57
2008,"DJ Bravo",135.88
2008,"DJ Hussey",123.64
2008,"DJ Thornely",73.58
2008,"DNT Zoysa",122.22
2008,"DP Vijaykumar",100.00
2008,"DPMD Jayawardene",136.64
2008,"DR Smith",112.50
2008,"DS Kulkarni",12.50
2008,"DS Lehmann",100.00
2008,"DT Patil",100.00
2008,"DW Steyn",40.00
2008,"G Gambhir",141.27
2008,"GC Smith",122.16
2008,"GD McGrath",80.00
2008,"H Das",40.00
2008,"Harbhajan Singh",176.47
2008,"HH Gibbs",109.15
2008,"I Sharma",100.00
2008,"IK Pathan",113.91
2008,"Iqbal Abdulla",50.00
2008,"J Arunkumar",100.00
2008,"JA Morkel",148.77
2008,"JDP Oram",150.00
2008,"JH Kallis",108.74
2008,"Joginder Sharma",145.45
2008,"JR Hopes",149.32
2008,"K Goel",97.44
2008,"Kamran Akmal",166.23
2008,"KC Sangakkara",162.44
2008,"KD Karthik",135.51
2008,"L Balaji",0.00
2008,"L Ronchi",106.25
2008,"LA Pomersbach",153.54
2008,"LPC Silva",153.85
2008,"LR Shukla",133.61
2008,"LRPL Taylor",183.95
2008,"M Kaif",103.53
2008,"M Kartik",111.11
2008,"M Muralitharan",0.00
2008,"M Ntini",61.11
2008,"M Rawat",87.18
2008,"MA Khote",109.09
2008,"MEK Hussey",168.00
2008,"MF Maharoof",158.23
2008,Misbah-ul-Haq,144.44
2008,"MK Pandey",33.33
2008,"MK Tiwary",122.35
2008,"ML Hayden",148.82
2008,"MM Patel",0.00
2008,"Mohammad Asif",50.00
2008,"Mohammad Hafeez",77.11
2008,"MS Dhoni",133.55
2008,"MS Gony",159.09
2008,"MV Boucher",127.12
2008,"Niraj Patel",127.16
2008,"P Kumar",114.29
2008,"PA Patel",102.37
2008,"Pankaj Singh",62.50
2008,"PJ Sangwan",40.00
2008,"PM Sarvesh Kumar",50.00
2008,"PP Chawla",155.17
2008,"PP Ojha",50.00
2008,"PR Shah",100.00
2008,"R Bhatia",121.43
2008,"R Dravid",124.92
2008,"R Vinay Kumar",113.64
2008,"RA Jadeja",135.00
2008,"RG Sharma",149.63
2008,"RP Singh",112.50
2008,"RR Powar",133.33
2008,"RR Raje",88.89
2008,"RR Sarwan",97.33
2008,"RT Ponting",73.58
2008,"RV Uthappa",116.79
2008,"S Anirudha",14.29
